model_key,model_label,vehicle_id,plate_no,price_manwon,year,month,mileage_km,region,trim,trim_detail,sell_type,record_available,accident_free,accident_summary,accident_my_count,accident_other_count,accident_count,accident_my_cost_won,accident_other_cost_won,owner_change_count,plate_change_count,total_loss_count,flood_total_count,flood_part_count,theft_count,past_rental_count,past_business_count,past_government_count,past_commercial_use,inspection_available,insp_leak,insp_corrosion,insp_tire,insp_repair_notes,insp_repair_penalty,insp_worst_rank,insp_worst_status,insp_unclassified,insp_diagnostics,battery_pack_damage,repair_source,insp_mileage,insp_waterlog,insp_recall,insp_recall_types,insp_comments,insp_tuning,insp_usage_change,insp_serious,insp_vin,insp_accident_flag,insp_simple_repair,insp_needs_repair,accident_lines,accident_type_verdict,use_history,record_fields_null,first_registration_date,flood_or_total_loss,rental_or_commercial,one_owner,encar_diagnosed,encar_check,direct_inspected,page_available,repair_grade_source,page_repair_notes,page_repair_penalty,page_worst_rank,page_worst_status,page_unmatched_parts,page_status_unknown,page_ranks_read,page_mileage_gauge,page_mileage,page_vin_state,page_tuning,page_special_history,page_usage_change,page_recall,page_recall_done,page_accident_history,page_simple_repair,page_first_registration,page_inspection_valid,page_inspector_note,page_js_suspect,page_detail_bad,page_detail_unknown,page_ev_hv_bad,page_ev_hv_unknown,page_ev_hv_checked,page_parse_note,page_is_image,seller_option_claims,seller_text_len,photo_count,has_underbody_photo,description_len,seizing_count,pledge_count,first_advertised,days_on_market,re_registered,lease_rent_info,insurance_not_joined,loan_count,first_seen,last_seen,price_first_manwon,price_prev_manwon,price_change_manwon,origin_price_manwon,warranty,view_count,subscribe_count,inspection_summary,photo_url,listing_url,detail_fetched,collected_at
ix_xdrive50,BMW iX,42488966,37보5679,6100,2023,12,172611,경기,xDrive50 스포츠 플러스,,일반,True,False,,1,2,3,2693577,1218530,0,0,0,0,,0,,0,0,False,True,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,,,,,172589,False,True,"1, 이행","중고차 특성상 부분적인 판금,도색이 있을 수 있습니다.(FRP 및 카본재질 판독불가 보증사항에서 제외됨),내차 피해 1회 (2,693,577원)정비이력 - 뒷문",,,,WBY21CF00PCN33150,False,False,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리","2026-04-21 타차 가해 보험금 1,161,493원 (부품 202,085원, 공임 180,500원, 도장 220,009원) | 2024-10-02 내차 피해 보험금 2,460,000원 (부품 1,778,300원, 공임 199,433원, 도장 715,844원) | 2024-10-02 타차 가해 보험금 755,750원 (부품 95,817원, 공임 153,940원, 도장 366,179원)",검증됨 (내차 1건 / 타차 2건 일치),2 | 1,flood_part_count,2023년 12월 15일,False,False,True,True,False,False,True,,,0.0,,,,,5,양호,172589,양호,없음,없음,없음,해당,이행,없음,없음,2023년 12월 15일,2023년 12월 15일 ~ 2027년 12월 14일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),False,,1576,20,False,1662,0,0,2026-08-05T15:23:25,52,False,,,0,2026-08-30,2026-09-25,6300,6200,-200,14990,한화,5059,32,,https://ci.encar.com/carpicture08/pic4248/42488966_,http://www.encar.com/dc/dc_cardetailview.do?carid=42488966,True,2026-09-26T09:24:00
ix_xdrive50,BMW iX,42659141,205노3680,7352,2026,7,732,인천,xDrive45 M 스포츠,,리스,False,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,사고 상세 없음,,,,False,True,,False,False,False,True,,,,,,,,0,,,,,,,,,,,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,True,,506,24,False,604,,,2026-09-02T16:16:19,24,False,"{'residualMonth': 59, 'monthlyFee': 128, 'advancePrice': None, 'depositPrice': None}",,,2026-09-02,2026-09-25,7352,,0,12680,bmw코리아,14,0,,https://ci.encar.com/carpicture05/pic4265/42659141_,http://www.encar.com/dc/dc_cardetailview.do?carid=42659141,True,2026-09-26T09:24:00
ix_xdrive50,BMW iX,42590521,29주2184,11690,2025,11,15399,경기,xDrive60 M 스포츠 프로,,리스,True,True,,0,0,0,0,0,0,0,0,0,,0,,0,0,False,True,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,,,,,15367,False,False,,,,,,WBY51CF04TCW11629,False,False,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,사고 상세 없음,2 | 1,flood_part_count,2025년 11월 11일,False,False,True,False,False,False,True,,,0.0,,,,,5,양호,15367,양호,없음,없음,없음,해당없음,,없음,없음,2025년 11월 11일,2025년 11월 11일 ~ 2030년 11월 10일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),False,,1372,26,False,1515,0,0,2026-08-31T18:24:19,26,False,"{'residualMonth': 60, 'monthlyFee': 183, 'advancePrice': None, 'depositPrice': None}",,0,2026-09-02,2026-09-25,11790,11790,-100,15380,BMW,759,6,,https://ci.encar.com/carpicture09/pic4259/42590521_,http://www.encar.com/dc/dc_cardetailview.do?carid=42590521,True,2026-09-26T09:24:00
ix_xdrive50,BMW iX,42478480,03구1976,9400,2024,7,26500,서울,xDrive50 스포츠 플러스,,리스,True,True,,0,0,0,0,0,0,0,0,0,,0,,0,0,False,True,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,,,,,24900,False,False,,,,,,WBY21CF00RCR71203,False,False,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,사고 상세 없음,2 | 1,flood_part_count,2024년 07월 30일,False,False,True,False,False,False,True,,,0.0,,,,,5,양호,24900,양호,없음,없음,없음,해당없음,,없음,없음,2024년 07월 30일,2024년 07월 30일 ~ 2028년 07월 29일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),False,,899,17,False,991,0,0,2026-08-03T15:33:49,54,False,"{'residualMonth': 60, 'monthlyFee': 201, 'advancePrice': None, 'depositPrice': None}",202503~202504,0,2026-08-30,2026-09-25,9600,9600,-200,15200,BMW Korea,717,9,,https://ci.encar.com/carpicture07/pic4247/42478480_,http://www.encar.com/dc/dc_cardetailview.do?carid=42478480,True,2026-09-26T09:24:00
ix_xdrive50,BMW iX,42750805,33노4291,5600,2021,12,98469,서울,xDrive40 퍼스트에디션,,리스,True,False,,2,1,3,10332429,791290,0,0,0,0,,0,,0,0,False,True,,,,,0.0,,,,,False,,,,,,,,,,,False,False,,"2025-08-14 내차 피해 보험금 3,104,590원 (부품 217,810원, 공임 1,762,250원, 도장 1,302,369원) | 2024-01-20 내차 피해 보험금 7,255,000원 (부품 5,800,000원, 공임 450,000원, 도장 800,000원) | 2024-01-20 타차 가해 보험금 1,030,744원 (부품 325,091원, 공임 178,360원, 도장 287,839원)",검증됨 (내차 2건 / 타차 1건 일치),2 | 1,flood_part_count,2021-12-23,False,False,True,False,False,False,True,,,,,,,,0,,,,,,,,,없음,없음,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,True,,1468,13,False,1562,0,0,2026-09-17T09:26:42,9,False,"{'residualMonth': 60, 'monthlyFee': 1, 'advancePrice': None, 'depositPrice': None}",,0,2026-09-18,2026-09-25,5600,,0,12260,BMW,34,0,,https://ci.encar.com/carpicture05/pic4275/42750805_,http://www.encar.com/dc/dc_cardetailview.do?carid=42750805,True,2026-09-26T09:24:00
ix_xdrive50,BMW iX,42619732,02마6778,6800,2022,1,44030,경기,xDrive40 퍼스트에디션,,리스,True,True,,0,0,0,0,0,0,0,0,0,,0,,0,0,False,True,,,,,0.0,,,,,False,,,,,,,,,,,False,False,,,사고 상세 없음,2 | 1,flood_part_count,2022-01-13,False,False,True,False,False,False,True,,,,,,,,0,,,,,,,,,없음,없음,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,True,,2455,26,False,2673,0,0,2026-09-22T09:59:51,4,False,"{'residualMonth': 60, 'monthlyFee': 113, 'advancePrice': None, 'depositPrice': None}",,0,2026-08-30,2026-09-25,6800,,0,12260,BMW바바리안모터스,595,7,,https://ci.encar.com/carpicture01/pic4261/42619732_,http://www.encar.com/dc/dc_cardetailview.do?carid=42619732,True,2026-09-26T09:24:03
ix_xdrive50,BMW iX,42713723,238도7128,12000,2025,6,10041,인천,xDrive60 M 스포츠 프로,,리스,True,False,,1,0,1,1644000,0,0,0,0,0,,0,,0,0,False,True,,,,,0.0,,,,,False,,,,,,,,,,,False,False,,"2026-05-26 내차 피해 보험금 1,644,000원",검증됨 (내차 1건 / 타차 0건 일치),2 | 1,flood_part_count,2025-06-23,False,False,True,False,False,False,True,,,,,,,,0,,,,,,,,,없음,없음,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,True,,1793,26,False,1900,0,0,2026-09-10T16:33:25,16,False,"{'residualMonth': 60, 'monthlyFee': 150, 'advancePrice': None, 'depositPrice': None}",202506~202507,0,2026-08-30,2026-09-25,12000,,0,,BMW 공식서비스센터,76,0,,https://ci.encar.com/carpicture01/pic4271/42713723_,http://www.encar.com/dc/dc_cardetailview.do?carid=42713723,True,2026-09-26T09:24:03
ix_xdrive50,BMW iX,42739171,51루2945,7200,2022,9,79327,경기,xDrive50 스포츠 플러스,,리스,True,False,,1,0,1,8797754,0,0,0,0,0,,0,,0,0,False,True,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,"트렁크리드 교환(X) — 외판 1랭크, 구조 영향 없음 (볼트 체결 부품, 법적으로 무사고 표기 가능)",2.0,외판1,X,,,,,79327,False,True,"1, 이행","중고차 특성상 부분적인 판금,도색이 있을 수 있습니다.(FRP 및 카본재질 판독불가 보증사항에서 제외됨)",,,,WBY21CF05NCK63491,False,True,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리","2025-12-21 내차 피해 보험금 9,170,000원 (부품 6,936,242원, 공임 691,429원, 도장 1,170,083원)",검증됨 (내차 1건 / 타차 0건 일치),2 | 1,flood_part_count,2022년 09월 30일,False,False,True,False,False,False,True,성능기록부,"트렁크리드 교환(X) — 외판 1랭크, 구조 영향 없음 (볼트 체결 부품, 법적으로 무사고 표기 가능)",2.0,외판1,X,,,5,양호,79327,양호,없음,없음,없음,해당,이행,없음,있음,2022년 09월 30일,2022년 09월 30일 ~ 2026년 09월 29일,성능 · 상태점검자,False,,,,,3,script 의 부위별 손상표에서 읽음 (data (script #6)),False,,3264,26,False,4351,0,0,2026-09-15T15:28:45,11,False,"{'residualMonth': 60, 'monthlyFee': 154, 'advancePrice': None, 'depositPrice': None}",,0,2026-09-18,2026-09-25,7200,,0,14440,도이치모터스,64,1,,https://ci.encar.com/carpicture03/pic4273/42739171_,http://www.encar.com/dc/dc_cardetailview.do?carid=42739171,True,2026-09-26T09:24:01
ix_xdrive50,BMW iX,42775880,08어6189,9100,2024,3,39042,경기,xDrive50 스포츠 플러스,,리스,True,True,,0,0,0,0,0,0,0,0,0,,0,,0,0,False,True,오일누유 / 미세누유 / 누유 / 냉각수누수 / 미세누수 / 누수 / 동력조향 작동 오일 누유 / 브레이크 마스터 실린더오일 누유 / 브레이크 오일 누유,,타이어,,,,,,,,,39042,False,False,,"중고차 특성상 부분적인 판금,도색이 있을 수 있습니다.(FRP 및 카본재질 판독불가 보증사항에서 제외됨)",,,,WBY21CF02RCR33648,False,False,"외장, 내장, 광택, 룸 클리링, 휠, 타이어, 유리",,사고 상세 없음,2 | 1,flood_part_count,2024년 03월 07일,False,False,True,False,False,False,True,,,0.0,,,,,5,양호,39042,양호,없음,없음,없음,해당없음,,없음,없음,2024년 03월 07일,2024년 03월 07일 ~ 2028년 03월 06일,성능 · 상태점검자,True,,,,,3,script 의 부위별 손상표에서 읽음 (init 의 data 가 null (수리 부위 없음)),False,에어서스펜션,2817,17,False,3113,0,0,2026-09-21T17:46:04,5,False,"{'residualMonth': 60, 'monthlyFee': 194, 'advancePrice': None, 'depositPrice': None}",,0,2026-09-21,2026-09-25,9100,,0,15200,BMW 도이치모터스,10,0,,https://ci.encar.com/carpicture07/pic4277/42775880_,http://www.encar.com/dc/dc_cardetailview.do?carid=42775880,True,2026-09-26T09:24:01
ix_xdrive50,BMW iX,42730000,391저7403,9400,2026,4,4590,경남,xDrive45 M 스포츠,,리스,True,True,,0,0,0,0,0,0,0,0,0,,0,,0,0,False,True,,,,,0.0,,,,,False,,,,,,,,,,,False,False,,,사고 상세 없음,2 | 1,flood_part_count,2026-04-27,False,False,True,False,False,False,True,,,,,,,,0,,,,,,,,,없음,없음,,,,False,,,,"충전구 절연 상태(항목 없음), 구동축전지 격리 상태(항목 없음), 고전원전기배선 상태(항목 없음)",0,성능기록부가 사진(이미지)으로만 등록된 매물입니다 — 페이지에서 읽어 낼 수 있는 항목이 없습니다,True,,2937,25,False,3261,0,0,2026-09-14T14:29:03,12,False,"{'residualMonth': 60, 'monthlyFee': 21, 'advancePrice': None, 'depositPrice': None}",,0,2026-09-18,2026-09-25,9400,,0,12480,BMW,241,3,,https://ci.encar.com/carpicture03/pic4273/42730000_,http://www.encar.com/dc/dc_cardetailview.do?carid=42730000,True,2026-09-26T09:24:01
